,GO_ID,GO_term,GO_term_Count
0,GO:0005515,protein binding,170
1,GO:0005634,nucleus,119
2,GO:0005654,nucleoplasm,95
3,GO:0005829,cytosol,81
4,GO:0005886,plasma membrane,64
5,GO:0005737,cytoplasm,64
6,GO:0006357,regulation of transcription by RNA polymerase II,50
7,GO:0045944,positive regulation of transcription by RNA polymerase II,47
8,GO:0046872,metal ion binding,45
9,GO:0000785,chromatin,43
10,GO:0016020,membrane,43
11,GO:0003677,DNA binding,41
12,GO:0000122,negative regulation of transcription by RNA polymerase II,40
13,GO:0045893,positive regulation of DNA-templated transcription,35
14,GO:0005524,ATP binding,34
15,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,31
16,GO:0003682,chromatin binding,31
17,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",30
18,GO:0045892,negative regulation of DNA-templated transcription,30
19,GO:0042802,identical protein binding,28
20,GO:0003723,RNA binding,28
21,GO:0032991,protein-containing complex,22
22,GO:0007399,nervous system development,22
23,GO:0008270,zinc ion binding,22
24,GO:0007420,brain development,20
25,GO:0006338,chromatin remodeling,19
26,GO:0014069,postsynaptic density,19
27,GO:0006325,chromatin organization,19
28,GO:0098978,glutamatergic synapse,19
29,GO:0007268,chemical synaptic transmission,19
30,GO:0003713,transcription coactivator activity,18
31,GO:0006355,regulation of DNA-templated transcription,18
32,GO:0030424,axon,18
33,GO:0070062,extracellular exosome,17
34,GO:0030425,dendrite,17
35,GO:0043005,neuron projection,16
36,GO:0045202,synapse,16
37,GO:0045211,postsynaptic membrane,15
38,GO:0007165,signal transduction,15
39,GO:0048471,perinuclear region of cytoplasm,14
40,GO:0006468,protein phosphorylation,14
41,GO:1990837,sequence-specific double-stranded DNA binding,14
42,GO:0035176,social behavior,14
43,GO:0003714,transcription corepressor activity,14
44,GO:0009986,cell surface,14
45,GO:0019901,protein kinase binding,14
46,GO:0008284,positive regulation of cell population proliferation,13
47,GO:0043025,neuronal cell body,13
48,GO:0016604,nuclear body,13
49,GO:0005789,endoplasmic reticulum membrane,13
50,GO:0003700,DNA-binding transcription factor activity,13
51,GO:0043231,intracellular membrane-bounded organelle,13
52,GO:0005730,nucleolus,13
53,GO:0005794,Golgi apparatus,13
54,GO:0010628,positive regulation of gene expression,13
55,GO:0004674,protein serine/threonine kinase activity,12
56,GO:0005813,centrosome,12
57,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",12
58,GO:2000463,positive regulation of excitatory postsynaptic potential,11
59,GO:0006351,DNA-templated transcription,11
60,GO:0016887,ATP hydrolysis activity,11
61,GO:0042393,histone binding,11
62,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",11
63,GO:0005667,transcription regulator complex,11
64,GO:0106310,protein serine kinase activity,11
65,GO:0008013,beta-catenin binding,10
66,GO:0050804,modulation of chemical synaptic transmission,10
67,GO:0000976,transcription cis-regulatory region binding,10
68,GO:0043066,negative regulation of apoptotic process,10
69,GO:0048511,rhythmic process,10
70,GO:0006974,cellular response to DNA damage stimulus,10
71,GO:0008022,protein C-terminus binding,10
72,GO:0016607,nuclear speck,10
73,GO:0010468,regulation of gene expression,10
74,GO:0038023,signaling receptor activity,10
75,GO:0006366,transcription by RNA polymerase II,10
