,GO_ID,GO_term,GO_term_Count
0,GO:0005515,protein binding,470
1,GO:0005886,plasma membrane,282
2,GO:0005829,cytosol,220
3,GO:0005634,nucleus,218
4,GO:0005737,cytoplasm,190
5,GO:0005654,nucleoplasm,177
6,GO:0016020,membrane,146
7,GO:0046872,metal ion binding,89
8,GO:0070062,extracellular exosome,86
9,GO:0005524,ATP binding,78
10,GO:0042802,identical protein binding,75
11,GO:0007165,signal transduction,66
12,GO:0003723,RNA binding,62
13,GO:0006357,regulation of transcription by RNA polymerase II,61
14,GO:0045944,positive regulation of transcription by RNA polymerase II,60
15,GO:0005576,extracellular region,58
16,GO:0098978,glutamatergic synapse,57
17,GO:0005794,Golgi apparatus,54
18,GO:0007155,cell adhesion,53
19,GO:0005509,calcium ion binding,53
20,GO:0005783,endoplasmic reticulum,49
21,GO:0000785,chromatin,48
22,GO:0045202,synapse,46
23,GO:0003677,DNA binding,44
24,GO:0045893,positive regulation of DNA-templated transcription,43
25,GO:0000122,negative regulation of transcription by RNA polymerase II,43
26,GO:0009986,cell surface,43
27,GO:0008270,zinc ion binding,43
28,GO:0043005,neuron projection,42
29,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",42
30,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,41
31,GO:0005789,endoplasmic reticulum membrane,38
32,GO:0005739,mitochondrion,38
33,GO:0045211,postsynaptic membrane,37
34,GO:0007399,nervous system development,37
35,GO:0005615,extracellular space,36
36,GO:0007268,chemical synaptic transmission,36
37,GO:0030424,axon,36
38,GO:0030425,dendrite,35
39,GO:0048471,perinuclear region of cytoplasm,35
40,GO:0042803,protein homodimerization activity,34
41,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,33
42,GO:0014069,postsynaptic density,32
43,GO:0043025,neuronal cell body,32
44,GO:0032991,protein-containing complex,31
45,GO:0005730,nucleolus,31
46,GO:0035556,intracellular signal transduction,31
47,GO:0007420,brain development,30
48,GO:0003682,chromatin binding,30
49,GO:0045892,negative regulation of DNA-templated transcription,30
50,GO:0006468,protein phosphorylation,29
51,GO:0005813,centrosome,28
52,GO:0019899,enzyme binding,27
53,GO:0042734,presynaptic membrane,26
54,GO:0043231,intracellular membrane-bounded organelle,26
55,GO:0010628,positive regulation of gene expression,25
56,GO:1990837,sequence-specific double-stranded DNA binding,24
